Date,Open,High,Low,Close,Adj Close,Volume
2021-11-01,53.560001,55.330002,53.410000,55.110001,55.110001,14747000
2021-11-02,55.040001,55.080002,53.779999,53.990002,53.990002,11571400
2021-11-03,53.680000,54.549999,53.099998,54.529999,54.529999,9774200
2021-11-04,54.580002,54.840000,53.180000,53.680000,53.680000,11284700
2021-11-05,54.110001,54.180000,52.810001,53.150002,53.150002,13273800
2021-11-08,53.450001,54.320000,53.160000,54.080002,54.080002,10565500
2021-11-09,54.110001,54.930000,53.160000,53.700001,53.700001,11230100
2021-11-10,53.250000,53.980000,51.750000,52.330002,52.330002,18858400
2021-11-11,52.590000,52.840000,51.840000,51.980000,51.980000,13972100
2021-11-12,52.299999,52.810001,51.919998,52.250000,52.250000,13287600
2021-11-15,52.410000,53.910000,52.410000,52.950001,52.950001,21965600
2021-11-16,52.860001,53.000000,51.880001,52.110001,52.110001,10743600
2021-11-17,52.029999,52.139999,50.580002,50.610001,50.610001,16968800
2021-11-18,50.650002,50.830002,48.459999,48.599998,48.599998,22373500
2021-11-19,49.119999,50.369999,48.400002,48.400002,48.400002,26162400
2021-11-22,48.509998,48.549999,46.520000,47.310001,47.310001,26620100
2021-11-23,47.200001,47.459999,45.980000,47.139999,47.139999,19663700
2021-11-24,46.660000,47.639999,46.160000,47.520000,47.520000,9979500
2021-11-26,46.639999,47.349998,46.230000,47.070000,47.070000,7861300
2021-11-29,51.880001,52.270000,45.619999,45.779999,45.779999,71686600
2021-11-30,45.509998,45.849998,43.000000,43.939999,43.939999,36213400
2021-12-01,44.910000,46.500000,42.799999,42.820000,42.820000,34082600
2021-12-02,43.060001,43.160000,41.750000,42.650002,42.650002,24374800
2021-12-03,42.820000,43.099998,41.009998,42.070000,42.070000,26133700
2021-12-06,42.110001,44.720001,41.750000,44.470001,44.470001,26228700
2021-12-07,45.070000,46.340000,44.320000,44.459999,44.459999,21200500
2021-12-08,44.599998,46.200001,44.340000,45.720001,45.720001,18408200
2021-12-09,47.209999,48.220001,46.410000,46.459999,46.459999,26145200
2021-12-10,46.599998,46.599998,44.970001,45.560001,45.560001,14060600
2021-12-13,45.549999,45.900002,43.779999,44.599998,44.599998,11710300
2021-12-14,44.040001,44.689999,43.700001,44.349998,44.349998,11205400
2021-12-15,44.000000,44.240002,42.740002,44.070000,44.070000,14962100
2021-12-16,44.430000,45.029999,42.720001,43.130001,43.130001,13052600
2021-12-17,42.700001,44.029999,41.630001,43.070000,43.070000,29138000
2021-12-20,42.369999,43.270000,41.790001,42.980000,42.980000,12319500
2021-12-21,43.230000,44.450001,42.730000,44.360001,44.360001,9537400
2021-12-22,44.049999,44.560001,43.630001,43.900002,43.900002,10134800
2021-12-23,44.000000,44.529999,43.000000,44.160000,44.160000,8977600
2021-12-27,44.209999,44.919998,44.130001,44.330002,44.330002,8589700
2021-12-28,44.209999,44.779999,43.230000,43.430000,43.430000,8831000
2021-12-29,43.169998,43.549999,42.560001,42.759998,42.759998,8732900
2021-12-30,42.770000,45.090000,42.630001,44.459999,44.459999,14541100
2021-12-31,44.340000,44.759998,43.180000,43.220001,43.220001,9829600
2022-01-03,43.500000,43.689999,42.480000,42.660000,42.660000,14431900
2022-01-04,42.849998,42.970001,40.360001,40.849998,40.849998,21422400
2022-01-05,40.799999,41.880001,39.450001,39.500000,39.500000,22008600
2022-01-06,39.500000,40.439999,38.689999,39.590000,39.590000,16613400
2022-01-07,39.650002,40.689999,39.320000,39.669998,39.669998,14669900
2022-01-10,39.330002,40.029999,38.220001,39.970001,39.970001,14997300
2022-01-11,39.790001,40.939999,39.599998,40.660000,40.660000,13815400
2022-01-12,40.880001,41.480000,39.770000,40.250000,40.250000,10439000
2022-01-13,40.150002,40.340000,38.610001,38.700001,38.700001,15075600
2022-01-14,38.430000,39.049999,37.509998,38.439999,38.439999,14849800
2022-01-18,37.720001,38.200001,37.130001,37.299999,37.299999,14896800
2022-01-19,37.130001,38.279999,37.009998,37.349998,37.349998,19798000
2022-01-20,37.840000,39.029999,37.200001,37.279999,37.279999,17688900
2022-01-21,36.900002,37.080002,34.799999,34.820000,34.820000,25674100
